"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Species.Code","Common.Name","Confidence","study_area","site","round","ARU","Date","Time","Date_time","Observer","Detections","Comments","COMMENTS","Detection","NA.","DETECTIONS","CommentsS","Columns","Commnets","Detectoins","FSelection","Delta.Time..s.","Delta.Freq..Hz.","Avg.Power.Density..dB.FS.Hz.","Comments.1","Coments","Comments.1.Spectrogram.1.1.2217.000000000.2220.000000000.150.000.12000.000.leabit.Least.Bittern.0.4385.0.RWBL.2.Spectrogram.1.1.438.000000000.441.000000000.150.000.12000.000.leabit.Least.Bittern.0.5114.0.RWBL..Selection.View.Channel.Begin.Time..s..End.Time..s..Low.Freq..Hz..High.Freq..Hz..Species.Code.Common.Name.Confidence.Detections.Comments","Detections.Comments.1.Spectrogram.1.1.1101.000000000.1104.000000000.150.000.12000.000.pibgre.Pied.billed.Grebe.0.4530.0.FROG.2.Spectrogram.1.1.438.000000000.441.000000000.150.000.12000.000.y00475.American.Coot.0.5864.0..3.Spectrogram.1.1.900.000000000.903.000000000.150.000.12000.000.leabit.Least.Bittern.0.6202.0...Selection.View.Channel.Begin.Time..s..End.Time..s..Low.Freq..Hz..High.Freq..Hz..Species.Code.Common.Name.Confidence.Detections","Detectios","Day","day_standardized","recording_day"
"54","4","Spectrogram 1","1","1890","1893","150","12000","sora","Sora","0.6383","Armstrong Ferry","A1","R1","MINI17",2023-04-25,"192102","2023-04-25 19:21:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"55","5","Spectrogram 1","1","3384","3387","150","12000","sora","Sora","0.6163","Armstrong Ferry","A1","R1","MINI17",2023-04-25,"192102","2023-04-25 19:21:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-25,"202102","2023-04-25 20:21:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
"57","1","Spectrogram 1","1","2097","2100","150","12000","leabit","Least Bittern","0.443","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"062400","2023-04-26 06:24:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"58","2","Spectrogram 1","1","2118","2121","150","12000","leabit","Least Bittern","0.4009","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"062400","2023-04-26 06:24:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"59","3","Spectrogram 1","1","420","423","150","12000","leabit","Least Bittern","0.6597","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"062400","2023-04-26 06:24:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"60","4","Spectrogram 1","1","45","48","150","12000","sora","Sora","0.5086","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"062400","2023-04-26 06:24:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"61","5","Spectrogram 1","1","633","636","150","12000","leabit","Least Bittern","0.5394","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"062400","2023-04-26 06:24:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-26,"072402","2023-04-26 07:24:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-26,"082402","2023-04-26 08:24:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-26,"092402","2023-04-26 09:24:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"65","1","Spectrogram 1","1","2709","2712","150","12000","sora","Sora","0.9287","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"66","2","Spectrogram 1","1","2718","2721","150","12000","sora","Sora","0.486","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"67","3","Spectrogram 1","1","3468","3471","150","12000","leabit","Least Bittern","0.9099","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"68","4","Spectrogram 1","1","3471","3474","150","12000","leabit","Least Bittern","0.4643","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"69","5","Spectrogram 1","1","3480","3483","150","12000","leabit","Least Bittern","0.7434","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"70","6","Spectrogram 1","1","3483","3486","150","12000","leabit","Least Bittern","0.7769","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"71","7","Spectrogram 1","1","3534","3537","150","12000","kinrai4","King Rail","0.5438","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"72","8","Spectrogram 1","1","3537","3540","150","12000","kinrai4","King Rail","0.7531","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"73","9","Spectrogram 1","1","3546","3549","150","12000","kinrai4","King Rail","0.5358","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"172200","2023-04-26 17:22:00",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"74","1","Spectrogram 1","1","102","105","150","12000","pibgre","Pied-billed Grebe","0.9978","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"182202","2023-04-26 18:22:02",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"75","2","Spectrogram 1","1","108","111","150","12000","pibgre","Pied-billed Grebe","0.8715","Armstrong Ferry","A1","R1","MINI17",2023-04-26,"182202","2023-04-26 18:22:02",NA,"0","playback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
